e_id,e_name
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K01155,E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]
K01156,res; type III restriction enzyme [EC:3.1.21.5]
K01158,DNASE2; deoxyribonuclease II [EC:3.1.22.1]
K01159,ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]
K01160,rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]
K01161,E3.1.25.1; deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]
K01163,K01163; uncharacterized protein
K01165,RNASEL; ribonuclease L
K01166,RNASET2; ribonuclease T2 [EC:4.6.1.19]
K01167,rnaSA; ribonuclease T1 [EC:4.6.1.24]
K01169,rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]
K01170,"endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"
K01173,"ENDOG; endonuclease G, mitochondrial"
K01174,nuc; micrococcal nuclease [EC:3.1.31.1]
K01175,ybfF; esterase [EC:3.1.-.-]
K01176,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
K01178,SGA1; glucoamylase [EC:3.2.1.3]
K01179,E3.2.1.4; endoglucanase [EC:3.2.1.4]
K01181,"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
K01182,"IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]"
K01183,E3.2.1.14; chitinase [EC:3.2.1.14]
K01184,E3.2.1.15; polygalacturonase [EC:3.2.1.15]
K01185,E3.2.1.17; lysozyme [EC:3.2.1.17]
K01186,NEU1; sialidase-1 [EC:3.2.1.18]
K01187,malZ; alpha-glucosidase [EC:3.2.1.20]
K01188,E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
K01189,GLA; alpha-galactosidase [EC:3.2.1.22]
K01190,lacZ; beta-galactosidase [EC:3.2.1.23]
K01191,MAN2C1; alpha-mannosidase [EC:3.2.1.24]
K01192,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
K01193,"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
K01194,"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
K01195,"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
K01197,hya; hyaluronoglucosaminidase [EC:3.2.1.35]
K01198,"xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K01200,pulA; pullulanase [EC:3.2.1.41]
K01201,"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"
K01202,GALC; galactosylceramidase [EC:3.2.1.46]
K01204,NAGA; alpha-N-acetylgalactosaminidase [EC:3.2.1.49]
K01205,NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]
K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
K01207,nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
K01208,"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]"
K01209,abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]
K01210,"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]"
K01212,"sacC, levB; levanase [EC:3.2.1.65]"
K01213,"E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]"
K01214,"ISA, treX; isoamylase [EC:3.2.1.68]"
K01215,"dexB; glucan 1,6-alpha-glucosidase [EC:3.2.1.70]"
K01216,bglS; licheninase [EC:3.2.1.73]
K01218,"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
K01219,E3.2.1.81; beta-agarase [EC:3.2.1.81]
K01220,"E3.2.1.85, lacG; 6-phospho-beta-galactosidase [EC:3.2.1.85]"
K01222,"E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01224,"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"
K01226,treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01227,ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
K01229,LCT; lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]
K01230,"MAN1A_C, MNS1_2; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"
K01232,glvA; maltose-6'-phosphate glucosidase [EC:3.2.1.122]
K01233,csn; chitosanase [EC:3.2.1.132]
K01235,aguA; alpha-glucuronidase [EC:3.2.1.139]
K01236,"treZ, glgZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]"
K01239,iunH; purine nucleosidase [EC:3.2.2.1]
K01240,URH1; uridine nucleosidase [EC:3.2.2.3]
K01241,amn; AMP nucleosidase [EC:3.2.2.4]
K01243,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
K01244,MTN; 5'-methylthioadenosine nucleosidase [EC:3.2.2.16]
K01246,tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K01247,alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K01250,rihA; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]
K01251,"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
K01252,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]"
K01253,EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]
K01255,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
K01256,pepN; aminopeptidase N [EC:3.4.11.2]
K01258,pepT; tripeptide aminopeptidase [EC:3.4.11.4]
K01259,pip; proline iminopeptidase [EC:3.4.11.5]
K01261,pepA; glutamyl aminopeptidase [EC:3.4.11.7]
K01262,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01264,APE3; aminopeptidase Y [EC:3.4.11.15]
K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
K01266,"dmpA, dap; D-aminopeptidase [EC:3.4.11.19]"
K01267,DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]
K01269,yhfE; aminopeptidase [EC:3.4.11.-]
K01270,pepD; dipeptidase D [EC:3.4.13.-]
K01271,pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]
K01273,DPEP; membrane dipeptidase [EC:3.4.13.19]
K01274,pepV; beta-Ala-Xaa dipeptidase [EC:3.4.13.-]
K01277,DPP3; dipeptidyl-peptidase III [EC:3.4.14.4]
K01278,"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]"
K01279,"TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]"
K01280,TPP2; tripeptidyl-peptidase II [EC:3.4.14.10]
K01281,pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]
K01283,"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
K01284,dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
K01286,E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K01291,CPB1; carboxypeptidase B [EC:3.4.17.2]
K01295,cpg; glutamate carboxypeptidase [EC:3.4.17.11]
K01297,ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K01298,CPA2; carboxypeptidase A2 [EC:3.4.17.15]
K01299,E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]
K01300,CPB2; carboxypeptidase B2 [EC:3.4.17.20]
K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
K01302,CPQ; carboxypeptidase Q [EC:3.4.17.-]
K01303,APEH; acylaminoacyl-peptidase [EC:3.4.19.1]
K01304,pcp; pyroglutamyl-peptidase [EC:3.4.19.3]
K01305,iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]
K01308,yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]
K01310,CTRB; chymotrypsin [EC:3.4.21.1]
K01311,CTRC; chymotrypsin C [EC:3.4.21.2]
K01312,PRSS1_2_3; trypsin [EC:3.4.21.4]
K01315,PLG; plasminogen [EC:3.4.21.7]
K01316,"TMPRSS15, PRSS7; enterokinase [EC:3.4.21.9]"
K01317,ACR; acrosin [EC:3.4.21.10]
K01318,sspA; glutamyl endopeptidase [EC:3.4.21.19]
K01322,PREP; prolyl oligopeptidase [EC:3.4.21.26]
K01323,F11; coagulation factor XI [EC:3.4.21.27]
K01324,KLKB1; plasma kallikrein [EC:3.4.21.34]
K01325,KLK1_2; tissue kallikrein [EC:3.4.21.35]
K01337,E3.4.21.50; lysyl endopeptidase [EC:3.4.21.50]
K01338,lon; ATP-dependent Lon protease [EC:3.4.21.53]
K01340,E3.4.21.59; tryptase [EC:3.4.21.59]
K01341,KEX2; kexin [EC:3.4.21.61]
K01342,aprE; subtilisin [EC:3.4.21.62]
K01343,PLAT; tissue plasminogen activator [EC:3.4.21.68]
K01345,CELA3; pancreatic endopeptidase E [EC:3.4.21.70]
K01346,CELA2; pancreatic elastase II [EC:3.4.21.71]
K01347,iga; IgA-specific serine endopeptidase [EC:3.4.21.72]
K01348,PLAU; urokinase plasminogen activator [EC:3.4.21.73]
K01349,"FURIN, PCSK3; furin [EC:3.4.21.75]"
K01354,ptrB; oligopeptidase B [EC:3.4.21.83]
K01355,ompT; omptin [EC:3.4.23.49]
K01356,lexA; repressor LexA [EC:3.4.21.88]
K01358,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
K01361,E3.4.21.96; lactocepin [EC:3.4.21.96]
K01362,OVCH; ovochymase [EC:3.4.21.-]
K01364,speB; streptopain [EC:3.4.22.10]
K01365,CTSL; cathepsin L [EC:3.4.22.15]
K01366,CTSH; cathepsin H [EC:3.4.22.16]
K01367,CAPN1; calpain-1 [EC:3.4.22.52]
K01371,CTSK; cathepsin K [EC:3.4.22.38]
K01372,"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"
K01382,CTSE; cathepsin E [EC:3.4.23.34]
K01385,E3.4.23.42; thermopsin [EC:3.4.23.42]
K01387,colA; microbial collagenase [EC:3.4.24.3]
K01388,MMP1; matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]
K01389,"MME, CD10; neprilysin [EC:3.4.24.11]"
K01390,iga; IgA-specific metalloendopeptidase [EC:3.4.24.13]
K01392,THOP1; thimet oligopeptidase [EC:3.4.24.15]
K01393,NLN; neurolysin [EC:3.4.24.16]
K01394,"MMP3; matrix metalloproteinase-3 (stromelysin 1, progelatinase) [EC:3.4.24.17]"
K01395,MEP1A; meprin A [EC:3.4.24.18]
K01396,MMP10; matrix metalloproteinase-10 (stromelysin 2) [EC:3.4.24.22]
K01397,"MMP7; matrix metalloproteinase-7 (matrilysin, uterine) [EC:3.4.24.23]"
K01399,lasB; pseudolysin [EC:3.4.24.26]
K01400,nprE; bacillolysin [EC:3.4.24.28]
K01401,aur; aureolysin [EC:3.4.24.29]
K01402,MMP8; matrix metalloproteinase-8 (neutrophil collagenase) [EC:3.4.24.34]
K01405,PRD1; saccharolysin [EC:3.4.24.37]
K01406,prtC; serralysin [EC:3.4.24.40]
K01407,ptrA; protease III [EC:3.4.24.55]
K01408,"IDE, ide; insulysin [EC:3.4.24.56]"
K01409,"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
K01412,"PMPCA, MAS2; mitochondrial-processing peptidase subunit alpha [EC:3.4.24.64]"
K01413,MMP12; matrix metalloproteinase-12 (macrophage elastase) [EC:3.4.24.65]
K01414,prlC; oligopeptidase A [EC:3.4.24.70]
K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
K01416,snpA; snapalysin [EC:3.4.24.77]
K01417,MEP; extracellular elastinolytic metalloproteinase [EC:3.4.24.-]
K01419,"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K01420,"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K01421,yhgE; putative membrane protein
K01424,"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"
K01425,"glsA, GLS; glutaminase [EC:3.5.1.2]"
K01426,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
K01427,URE; urease [EC:3.5.1.5]
K01428,ureC; urease subunit alpha [EC:3.5.1.5]
K01429,ureB; urease subunit beta [EC:3.5.1.5]
K01430,ureA; urease subunit gamma [EC:3.5.1.5]
K01431,"UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]"
K01432,AFMID; arylformamidase [EC:3.5.1.9]
K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01434,pac; penicillin G amidase [EC:3.5.1.11]
K01436,yhaA; amidohydrolase [EC:3.5.1.-]
K01437,"ASPA, aspA; aspartoacylase [EC:3.5.1.15]"
K01438,argE; acetylornithine deacetylase [EC:3.5.1.16]
K01439,dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01442,cbh; choloylglycine hydrolase [EC:3.5.1.24]
K01443,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
K01444,"AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"
K01446,PGRP; peptidoglycan recognition protein
K01447,xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01448,amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01449,"cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
K01451,hipO; hippurate hydrolase [EC:3.5.1.32]
K01452,E3.5.1.41; chitin deacetylase [EC:3.5.1.41]
K01453,nylB; 6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]
K01455,E3.5.1.49; formamidase [EC:3.5.1.49]
K01456,"E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]"
K01457,atzF; allophanate hydrolase [EC:3.5.1.54]
K01458,hutG; N-formylglutamate deformylase [EC:3.5.1.68]
K01459,E3.5.1.77; N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
K01460,gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]
K01461,E3.5.1.82; N-acyl-D-glutamate deacylase [EC:3.5.1.82]
K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]"
K01463,bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
K01464,"DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]"
K01465,"URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
K01466,allB; allantoinase [EC:3.5.2.5]
K01467,ampC; beta-lactamase class C [EC:3.5.2.6]
K01468,"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
K01469,"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
K01470,E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K01473,hyuA; N-methylhydantoinase A [EC:3.5.2.14]
K01474,hyuB; N-methylhydantoinase B [EC:3.5.2.14]
K01476,"E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]"
K01477,"alc, ALLC; allantoicase [EC:3.5.3.4]"
K01478,arcA; arginine deiminase [EC:3.5.3.6]
K01479,hutG; formiminoglutamase [EC:3.5.3.8]
K01480,speB; agmatinase [EC:3.5.3.11]
K01481,E3.5.3.15; protein-arginine deiminase [EC:3.5.3.15]
K01482,"DDAH, ddaH; dimethylargininase [EC:3.5.3.18]"
K01483,allA; ureidoglycolate lyase [EC:4.3.2.3]
K01484,astB; succinylarginine dihydrolase [EC:3.5.3.23]
K01485,codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K01486,ade; adenine deaminase [EC:3.5.4.2]
K01487,"guaD, GDA; guanine deaminase [EC:3.5.4.3]"
K01488,"add, ADA; adenosine deaminase [EC:3.5.4.4]"
K01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
K01490,AMPD; AMP deaminase [EC:3.5.4.6]
K01491,folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K01492,purNH; phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.2 2.1.2.3]
K01493,comEB; dCMP deaminase [EC:3.5.4.12]
K01494,dcd; dCTP deaminase [EC:3.5.4.13]
K01495,"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"
K01496,hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01497,"ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]"
K01498,ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]
K01499,mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]
K01501,E3.5.5.1; nitrilase [EC:3.5.5.1]
K01502,E3.5.5.7; aliphatic nitrilase [EC:3.5.5.7]
K01505,E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]
K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1]
K01509,ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]
K01510,"ENTPD1_3_8, CD39; apyrase [EC:3.6.1.5]"
K01512,acyP; acylphosphatase [EC:3.6.1.7]
K01513,"ENPP1_3, CD203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]"
K01514,"PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]"
K01515,nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]
K01518,NUDT2; bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]
K01519,ITPA; inosine triphosphate pyrophosphatase [EC:3.6.1.-]
K01520,"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"
K01521,cdh; CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]
K01523,hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K01524,"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
K01525,apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
K01531,"mgtA, mgtB; P-type Mg2+ transporter [EC:7.2.2.14]"
K01533,copB; P-type Cu2+ transporter [EC:7.2.2.9]
K01534,zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
K01535,"PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]"
K01536,ENA; P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]
K01537,ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]
K01539,ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
K01545,kdpF; potassium-transporting ATPase KdpF subunit
K01546,kdpA; potassium-transporting ATPase potassium-binding subunit
K01547,kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]
K01548,kdpC; potassium-transporting ATPase KdpC subunit
K01551,"arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]"
K01555,"FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]"
K01556,"KYNU, kynU; kynureninase [EC:3.7.1.3]"
K01557,FAHD1; acylpyruvate hydrolase [EC:3.7.1.5]
K01560,E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
K01561,dehH; haloacetate dehalogenase [EC:3.8.1.3]
K01562,DIO1; type I thyroxine 5'-deiodinase [EC:1.21.99.4]
K01563,dhaA; haloalkane dehalogenase [EC:3.8.1.5]
K01565,SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]
K01567,pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]
K01568,"PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]"
K01569,oxdD; oxalate decarboxylase [EC:4.1.1.2]
K01571,oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
K01573,oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma
K01574,adc; acetoacetate decarboxylase [EC:4.1.1.4]
K01575,"alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]"
K01576,mdlC; benzoylformate decarboxylase [EC:4.1.1.7]
K01577,oxc; oxalyl-CoA decarboxylase [EC:4.1.1.8]
K01578,MLYCD; malonyl-CoA decarboxylase [EC:4.1.1.9]
K01579,panD; aspartate 1-decarboxylase [EC:4.1.1.11]
K01580,"E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]"
K01581,"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
K01582,"E4.1.1.18, ldcC, cadA; lysine decarboxylase [EC:4.1.1.18]"
K01583,E4.1.1.19; arginine decarboxylase [EC:4.1.1.19]
K01584,adiA; arginine decarboxylase [EC:4.1.1.19]
K01585,speA; arginine decarboxylase [EC:4.1.1.19]
K01586,lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
K01587,PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]
K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K01589,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
K01590,"hdc, HDC; histidine decarboxylase [EC:4.1.1.22]"
K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
K01593,"DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]"
K01595,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
K01596,"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
K01597,"MVD, mvaD; diphosphomevalonate decarboxylase [EC:4.1.1.33]"
K01598,"PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]"
K01599,"hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
K01601,"rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]"
K01602,"rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]"
K01607,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
K01608,gcl; tartronate-semialdehyde synthase [EC:4.1.1.47]
K01609,trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K01610,"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
K01611,"speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]"
K01612,bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]
K01613,"psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]"
K01615,gcdA; glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]
K01616,kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]
K01617,"dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77]"
K01619,"deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]"
K01620,ltaE; threonine aldolase [EC:4.1.2.48]
K01621,"xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]"
K01622,"K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
K01624,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
K01626,"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
K01627,kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K01628,fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]
K01629,rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
K01630,garL; 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]
K01631,dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]
K01633,"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
K01634,"SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]"
K01635,"lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"
K01637,"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
K01638,"aceB, glcB; malate synthase [EC:2.3.3.9]"
K01639,"E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase [EC:4.1.3.3]"
K01640,"HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"
K01641,HMGCS; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K01643,citF; citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]
K01644,citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
K01646,citD; citrate lyase subunit gamma (acyl carrier protein)
K01647,"CS, gltA; citrate synthase [EC:2.3.3.1]"
K01648,ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
K01652,"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
K01653,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
K01654,"neuB, nnaB; N-acetylneuraminate synthase [EC:2.5.1.56]"
K01655,"LYS21, LYS20; homocitrate synthase [EC:2.3.3.14]"
K01656,TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]
K01657,trpE; anthranilate synthase component I [EC:4.1.3.27]
K01658,trpG; anthranilate synthase component II [EC:4.1.3.27]
K01659,prpC; 2-methylcitrate synthase [EC:2.3.3.5]
K01661,menB; naphthoate synthase [EC:4.1.3.36]
K01662,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K01663,HIS7; imidazole glycerol-phosphate synthase [EC:4.3.2.10]
K01664,pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]
K01665,pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]
K01666,mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]
K01667,tnaA; tryptophanase [EC:4.1.99.1]
K01668,E4.1.99.2; tyrosine phenol-lyase [EC:4.1.99.2]
K01669,phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K01671,yihT; sulfofructosephosphate aldolase [EC:4.1.2.57]
K01672,CA; carbonic anhydrase [EC:4.2.1.1]
K01673,"cynT, can; carbonic anhydrase [EC:4.2.1.1]"
K01674,cah; carbonic anhydrase [EC:4.2.1.1]
K01676,"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
